transaction_id,account_id,customer_id,txn_timestamp,direction,amount,currency,channel,txn_type,counterparty_name,counterparty_account,counterparty_bank,counterparty_country,description,status
TXN_B0009503,ACC_000131,CUST_00088,2026-05-22 11:57:57.69658,CREDIT,7733.70,INR,BRANCH,TRANSFER_IN,Apollo Hospitals,CPACC52948692,HDFC Bank,IN,Routine activity,POSTED
TXN_B0002599,ACC_000333,CUST_00225,2026-05-22 12:12:57.69658,CREDIT,3356.82,INR,IMPS,TRANSFER_IN,Zomato Ltd,CPACC07388847,HDFC Bank,IN,Routine activity,POSTED
TXN_B0000015,ACC_000525,CUST_00358,2026-05-22 12:36:57.69658,DEBIT,3488.28,INR,SWIFT,PURCHASE,Croma Electronics,CPACC56757454,HDFC Bank,IN,Routine activity,POSTED
TXN_B0002084,ACC_000204,CUST_00134,2026-05-22 12:47:57.69658,CREDIT,7470.75,INR,BRANCH,TRANSFER_IN,Apollo Hospitals,CPACC77312447,HDFC Bank,IN,Routine activity,POSTED
TXN_B0008053,ACC_000396,CUST_00271,2026-05-22 13:02:57.69658,CREDIT,279.03,INR,SWIFT,TRANSFER_IN,Reliance Retail Ltd,CPACC97177537,HDFC Bank,IN,Routine activity,POSTED
TXN_B0006232,ACC_000425,CUST_00294,2026-05-22 13:27:57.69658,CREDIT,248.76,INR,RTGS,TRANSFER_IN,Zomato Ltd,CPACC28741996,HDFC Bank,IN,Routine activity,POSTED
TXN_B0005813,ACC_000311,CUST_00209,2026-05-22 13:27:57.69658,CREDIT,306.05,INR,IMPS,TRANSFER_IN,Croma Electronics,CPACC52020697,HDFC Bank,IN,Routine activity,POSTED
TXN_B0005252,ACC_000586,CUST_00398,2026-05-22 13:27:57.69658,DEBIT,398.15,INR,NEFT,PURCHASE,Bigbasket,CPACC40063692,HDFC Bank,IN,Routine activity,POSTED
TXN_B0007277,ACC_000587,CUST_00399,2026-05-22 13:33:57.69658,DEBIT,7110.76,INR,NEFT,PURCHASE,HDFC Life Insurance,CPACC33489237,HDFC Bank,IN,Routine activity,POSTED
TXN_B0007583,ACC_000613,CUST_00418,2026-05-22 13:46:57.69658,CREDIT,1848.02,INR,BRANCH,TRANSFER_IN,Bigbasket,CPACC17348728,HDFC Bank,IN,Routine activity,POSTED
TXN_B0006426,ACC_000187,CUST_00123,2026-05-22 14:11:57.69658,DEBIT,216.75,INR,RTGS,PURCHASE,HDFC Life Insurance,CPACC93675997,HDFC Bank,IN,Routine activity,POSTED
TXN_B0007463,ACC_000674,CUST_00461,2026-05-22 14:35:57.69658,CREDIT,7077.39,INR,NEFT,TRANSFER_IN,Zomato Ltd,CPACC99870515,HDFC Bank,IN,Routine activity,POSTED
TXN_B0006569,ACC_000195,CUST_00128,2026-05-22 14:44:57.69658,DEBIT,12242.30,INR,RTGS,PURCHASE,Indian Railways IRCTC,CPACC85990215,HDFC Bank,IN,Routine activity,POSTED
TXN_B0000992,ACC_000610,CUST_00415,2026-05-22 15:10:57.69658,DEBIT,12624.29,INR,RTGS,PURCHASE,Bharat Petroleum,CPACC93751724,HDFC Bank,IN,Routine activity,POSTED
TXN_B0009786,ACC_000133,CUST_00090,2026-05-22 15:29:57.69658,DEBIT,646.06,INR,BRANCH,PURCHASE,Bharat Petroleum,CPACC05848174,HDFC Bank,IN,Routine activity,POSTED
TXN_B0001794,ACC_000398,CUST_00273,2026-05-22 15:48:57.69658,CREDIT,269.23,INR,NEFT,TRANSFER_IN,Zomato Ltd,CPACC79232570,HDFC Bank,IN,Routine activity,POSTED
TXN_B0008847,ACC_000456,CUST_00314,2026-05-22 15:54:57.69658,CREDIT,465.11,INR,RTGS,TRANSFER_IN,HDFC Life Insurance,CPACC20412790,HDFC Bank,IN,Routine activity,POSTED
TXN_B0009907,ACC_000678,CUST_00463,2026-05-22 16:19:57.69658,CREDIT,8081.22,INR,IMPS,TRANSFER_IN,Bigbasket,CPACC82518121,HDFC Bank,IN,Routine activity,POSTED
TXN_B0003828,ACC_000130,CUST_00088,2026-05-22 16:35:57.69658,DEBIT,20116.98,INR,SWIFT,PURCHASE,HDFC Life Insurance,CPACC14943002,HDFC Bank,IN,Routine activity,POSTED
TXN_B0002927,ACC_000636,CUST_00434,2026-05-22 17:04:57.69658,CREDIT,15744.57,INR,NEFT,TRANSFER_IN,Indian Railways IRCTC,CPACC94419288,HDFC Bank,IN,Routine activity,POSTED
TXN_B0007983,ACC_000055,CUST_00034,2026-05-22 17:19:57.69658,DEBIT,10093.83,INR,BRANCH,PURCHASE,Reliance Retail Ltd,CPACC05440401,HDFC Bank,IN,Routine activity,POSTED
TXN_B0006194,ACC_000309,CUST_00207,2026-05-22 17:27:57.69658,CREDIT,403.68,INR,UPI,TRANSFER_IN,Indian Railways IRCTC,CPACC33908645,HDFC Bank,IN,Routine activity,POSTED
TXN_B0007615,ACC_000113,CUST_00075,2026-05-22 17:56:57.69658,DEBIT,765.98,INR,ATM,PURCHASE,HDFC Life Insurance,CPACC00203870,HDFC Bank,IN,Routine activity,POSTED
TXN_B0001685,ACC_000182,CUST_00119,2026-05-22 18:06:57.69658,CREDIT,15237.09,INR,SWIFT,TRANSFER_IN,Zomato Ltd,CPACC46223908,HDFC Bank,IN,Routine activity,POSTED
TXN_B0001917,ACC_000459,CUST_00316,2026-05-22 18:28:57.69658,CREDIT,203.40,INR,SWIFT,TRANSFER_IN,Croma Electronics,CPACC00932023,HDFC Bank,IN,Routine activity,POSTED
TXN_B0002263,ACC_000199,CUST_00131,2026-05-22 18:40:57.69658,DEBIT,180.00,INR,UPI,PURCHASE,Bharat Petroleum,CPACC55886331,HDFC Bank,IN,Routine activity,POSTED
TXN_B0007483,ACC_000211,CUST_00140,2026-05-22 18:41:57.69658,CREDIT,935.52,INR,RTGS,TRANSFER_IN,Bharat Petroleum,CPACC93118287,HDFC Bank,IN,Routine activity,POSTED
TXN_B0004090,ACC_000230,CUST_00154,2026-05-22 18:53:57.69658,DEBIT,4067.84,INR,BRANCH,PURCHASE,Croma Electronics,CPACC12396493,HDFC Bank,IN,Routine activity,POSTED
TXN_B0002184,ACC_000145,CUST_00097,2026-05-22 18:58:57.69658,CREDIT,379.93,INR,RTGS,TRANSFER_IN,Flipkart Internet Pvt Ltd,CPACC37170935,HDFC Bank,IN,Routine activity,POSTED
TXN_B0000028,ACC_000265,CUST_00177,2026-05-22 19:36:57.69658,CREDIT,471.80,INR,RTGS,TRANSFER_IN,Croma Electronics,CPACC79658824,HDFC Bank,IN,Routine activity,POSTED
TXN_B0006863,ACC_000312,CUST_00210,2026-05-22 20:02:57.69658,CREDIT,1260.93,INR,IMPS,TRANSFER_IN,HDFC Life Insurance,CPACC83170094,HDFC Bank,IN,Routine activity,POSTED
TXN_B0001162,ACC_000357,CUST_00241,2026-05-22 20:08:57.69658,CREDIT,8061.59,INR,BRANCH,TRANSFER_IN,Croma Electronics,CPACC30628756,HDFC Bank,IN,Routine activity,POSTED
TXN_B0004598,ACC_000482,CUST_00331,2026-05-22 20:08:57.69658,CREDIT,448.27,INR,ATM,TRANSFER_IN,Zomato Ltd,CPACC18222160,HDFC Bank,IN,Routine activity,POSTED
TXN_B0006144,ACC_000270,CUST_00180,2026-05-22 20:13:57.69658,CREDIT,12736.57,INR,RTGS,TRANSFER_IN,HDFC Life Insurance,CPACC84639944,HDFC Bank,IN,Routine activity,POSTED
TXN_B0008047,ACC_000008,CUST_00005,2026-05-22 20:41:57.69658,CREDIT,8312.82,INR,RTGS,TRANSFER_IN,Flipkart Internet Pvt Ltd,CPACC09107892,HDFC Bank,IN,Routine activity,POSTED
TXN_B0003201,ACC_000426,CUST_00295,2026-05-22 21:14:57.69658,DEBIT,2578.45,INR,SWIFT,PURCHASE,Bharat Petroleum,CPACC05788349,HDFC Bank,IN,Routine activity,POSTED
TXN_B0003738,ACC_000130,CUST_00088,2026-05-22 21:18:57.69658,CREDIT,4262.59,INR,UPI,TRANSFER_IN,Bigbasket,CPACC56066135,HDFC Bank,IN,Routine activity,POSTED
TXN_B0000315,ACC_000511,CUST_00349,2026-05-22 21:21:57.69658,DEBIT,11401.35,INR,ATM,PURCHASE,Croma Electronics,CPACC32274643,HDFC Bank,IN,Routine activity,POSTED
TXN_B0000485,ACC_000426,CUST_00295,2026-05-22 21:22:57.69658,CREDIT,184.11,INR,NEFT,TRANSFER_IN,Tata Consultancy Services,CPACC68627209,HDFC Bank,IN,Routine activity,POSTED
TXN_B0005224,ACC_000454,CUST_00313,2026-05-22 21:35:57.69658,DEBIT,799.00,INR,BRANCH,PURCHASE,HDFC Life Insurance,CPACC18390378,HDFC Bank,IN,Routine activity,POSTED
TXN_B0006108,ACC_000319,CUST_00215,2026-05-22 22:13:57.69658,DEBIT,188.93,INR,ATM,PURCHASE,Tata Consultancy Services,CPACC41423561,HDFC Bank,IN,Routine activity,POSTED
TXN_B0006339,ACC_000040,CUST_00024,2026-05-22 22:48:57.69658,CREDIT,177.81,INR,RTGS,TRANSFER_IN,HDFC Life Insurance,CPACC61601707,HDFC Bank,IN,Routine activity,POSTED
TXN_B0002966,ACC_000201,CUST_00132,2026-05-22 23:07:57.69658,CREDIT,490.71,INR,RTGS,TRANSFER_IN,Flipkart Internet Pvt Ltd,CPACC00128931,HDFC Bank,IN,Routine activity,POSTED
TXN_B0007070,ACC_000721,CUST_00490,2026-05-22 23:28:57.69658,DEBIT,2716.13,INR,BRANCH,PURCHASE,Bharat Petroleum,CPACC53632675,HDFC Bank,IN,Routine activity,POSTED
TXN_B0000605,ACC_000196,CUST_00129,2026-05-22 23:28:57.69658,CREDIT,1681.41,INR,SWIFT,TRANSFER_IN,Zomato Ltd,CPACC86049712,HDFC Bank,IN,Routine activity,POSTED
TXN_B0000013,ACC_000173,CUST_00113,2026-05-22 23:38:57.69658,DEBIT,2662.26,INR,NEFT,PURCHASE,Zomato Ltd,CPACC30583661,HDFC Bank,IN,Routine activity,POSTED
TXN_B0006418,ACC_000146,CUST_00098,2026-05-22 23:54:57.69658,DEBIT,548.25,INR,ATM,PURCHASE,Flipkart Internet Pvt Ltd,CPACC77680472,HDFC Bank,IN,Routine activity,POSTED
TXN_B0007667,ACC_000380,CUST_00260,2026-05-23 00:32:57.69658,CREDIT,12409.46,INR,RTGS,TRANSFER_IN,Apollo Hospitals,CPACC08133801,HDFC Bank,IN,Routine activity,POSTED
TXN_B0009182,ACC_000232,CUST_00156,2026-05-23 01:51:57.69658,DEBIT,381.99,INR,BRANCH,PURCHASE,Croma Electronics,CPACC04616561,HDFC Bank,IN,Routine activity,POSTED
TXN_B0001099,ACC_000566,CUST_00383,2026-05-23 02:07:57.69658,DEBIT,2188.45,INR,NEFT,PURCHASE,Tata Consultancy Services,CPACC81158882,HDFC Bank,IN,Routine activity,POSTED
TXN_B0009087,ACC_000710,CUST_00484,2026-05-23 02:28:57.69658,DEBIT,4980.81,INR,SWIFT,PURCHASE,Indian Railways IRCTC,CPACC88399790,HDFC Bank,IN,Routine activity,POSTED
TXN_B0008556,ACC_000308,CUST_00206,2026-05-23 03:10:57.69658,CREDIT,237.84,INR,IMPS,TRANSFER_IN,Indian Railways IRCTC,CPACC78306949,HDFC Bank,IN,Routine activity,POSTED
TXN_B0000562,ACC_000542,CUST_00368,2026-05-23 03:23:57.69658,CREDIT,996.82,INR,SWIFT,TRANSFER_IN,Bharat Petroleum,CPACC57377290,HDFC Bank,IN,Routine activity,POSTED
TXN_B0009464,ACC_000518,CUST_00353,2026-05-23 03:24:57.69658,DEBIT,6754.15,INR,SWIFT,PURCHASE,HDFC Life Insurance,CPACC67351474,HDFC Bank,IN,Routine activity,POSTED
TXN_B0005983,ACC_000016,CUST_00009,2026-05-23 03:27:57.69658,CREDIT,21779.25,INR,BRANCH,TRANSFER_IN,Zomato Ltd,CPACC78890284,HDFC Bank,IN,Routine activity,POSTED
TXN_B0000444,ACC_000090,CUST_00058,2026-05-23 03:28:57.69658,CREDIT,11919.95,INR,BRANCH,TRANSFER_IN,Flipkart Internet Pvt Ltd,CPACC07988149,HDFC Bank,IN,Routine activity,POSTED
TXN_B0004071,ACC_000166,CUST_00109,2026-05-23 03:46:57.69658,DEBIT,281.29,INR,RTGS,PURCHASE,HDFC Life Insurance,CPACC67157595,HDFC Bank,IN,Routine activity,POSTED
TXN_B0009188,ACC_000145,CUST_00097,2026-05-23 03:54:57.69658,DEBIT,300.46,INR,ATM,PURCHASE,Reliance Retail Ltd,CPACC35662273,HDFC Bank,IN,Routine activity,POSTED
TXN_B0007688,ACC_000578,CUST_00392,2026-05-23 03:59:57.69658,DEBIT,31455.70,INR,BRANCH,PURCHASE,Flipkart Internet Pvt Ltd,CPACC57572265,HDFC Bank,IN,Routine activity,POSTED
TXN_B0008832,ACC_000314,CUST_00212,2026-05-23 04:04:57.69658,DEBIT,467.28,INR,RTGS,PURCHASE,Flipkart Internet Pvt Ltd,CPACC08795349,HDFC Bank,IN,Routine activity,POSTED
TXN_B0005659,ACC_000101,CUST_00065,2026-05-23 04:42:57.69658,CREDIT,14507.00,INR,ATM,TRANSFER_IN,Zomato Ltd,CPACC33201229,HDFC Bank,IN,Routine activity,POSTED
TXN_B0007024,ACC_000684,CUST_00467,2026-05-23 05:22:57.69658,DEBIT,3319.49,INR,SWIFT,PURCHASE,HDFC Life Insurance,CPACC00632996,HDFC Bank,IN,Routine activity,POSTED
TXN_B0003013,ACC_000580,CUST_00394,2026-05-23 05:59:57.69658,DEBIT,1294.14,INR,NEFT,PURCHASE,Indian Railways IRCTC,CPACC99579168,HDFC Bank,IN,Routine activity,POSTED
TXN_B0002215,ACC_000094,CUST_00061,2026-05-23 06:25:57.69658,DEBIT,2354.40,INR,SWIFT,PURCHASE,Apollo Hospitals,CPACC21654706,HDFC Bank,IN,Routine activity,POSTED
TXN_B0005588,ACC_000242,CUST_00163,2026-05-23 06:37:57.69658,CREDIT,221.24,INR,IMPS,TRANSFER_IN,Reliance Retail Ltd,CPACC52356495,HDFC Bank,IN,Routine activity,POSTED
TXN_B0007236,ACC_000034,CUST_00020,2026-05-23 06:49:57.69658,CREDIT,16758.95,INR,IMPS,TRANSFER_IN,Bigbasket,CPACC99050475,HDFC Bank,IN,Routine activity,POSTED
TXN_B0006238,ACC_000124,CUST_00082,2026-05-23 06:58:57.69658,DEBIT,1613.55,INR,UPI,PURCHASE,Croma Electronics,CPACC80931805,HDFC Bank,IN,Routine activity,POSTED
TXN_B0009768,ACC_000325,CUST_00220,2026-05-23 07:04:57.69658,DEBIT,1004.51,INR,RTGS,PURCHASE,Reliance Retail Ltd,CPACC75283858,HDFC Bank,IN,Routine activity,POSTED
TXN_B0002433,ACC_000289,CUST_00194,2026-05-23 07:08:57.69658,DEBIT,3779.83,INR,NEFT,PURCHASE,Bharat Petroleum,CPACC23016133,HDFC Bank,IN,Routine activity,POSTED
TXN_B0009238,ACC_000520,CUST_00354,2026-05-23 07:14:57.69658,DEBIT,17514.59,INR,RTGS,PURCHASE,Tata Consultancy Services,CPACC70870686,HDFC Bank,IN,Routine activity,POSTED
TXN_B0008442,ACC_000010,CUST_00006,2026-05-23 08:30:57.69658,CREDIT,2722.04,INR,IMPS,TRANSFER_IN,Flipkart Internet Pvt Ltd,CPACC13314796,HDFC Bank,IN,Routine activity,POSTED
TXN_B0007256,ACC_000090,CUST_00058,2026-05-23 08:54:57.69658,CREDIT,1155.07,INR,UPI,TRANSFER_IN,Flipkart Internet Pvt Ltd,CPACC19116332,HDFC Bank,IN,Routine activity,POSTED
TXN_B0008181,ACC_000622,CUST_00425,2026-05-23 09:32:57.69658,CREDIT,415.88,INR,SWIFT,TRANSFER_IN,Bharat Petroleum,CPACC98503721,HDFC Bank,IN,Routine activity,POSTED
TXN_B0008359,ACC_000684,CUST_00467,2026-05-23 09:34:57.69658,DEBIT,192.67,INR,ATM,PURCHASE,Bharat Petroleum,CPACC66589596,HDFC Bank,IN,Routine activity,POSTED
TXN_B0003072,ACC_000412,CUST_00286,2026-05-23 10:03:57.69658,DEBIT,12962.59,INR,NEFT,PURCHASE,HDFC Life Insurance,CPACC52517056,HDFC Bank,IN,Routine activity,POSTED
TXN_B0003089,ACC_000044,CUST_00027,2026-05-23 10:23:57.69658,CREDIT,7839.46,INR,ATM,TRANSFER_IN,Indian Railways IRCTC,CPACC79272593,HDFC Bank,IN,Routine activity,POSTED
TXN_B0007345,ACC_000083,CUST_00053,2026-05-23 10:29:57.69658,DEBIT,17301.83,INR,UPI,PURCHASE,Reliance Retail Ltd,CPACC66473367,HDFC Bank,IN,Routine activity,POSTED
TXN_B0008127,ACC_000475,CUST_00326,2026-05-23 10:45:57.69658,CREDIT,10251.38,INR,NEFT,TRANSFER_IN,Indian Railways IRCTC,CPACC89962594,HDFC Bank,IN,Routine activity,POSTED
TXN_B0003975,ACC_000658,CUST_00450,2026-05-23 11:13:57.69658,DEBIT,2485.15,INR,SWIFT,PURCHASE,Bharat Petroleum,CPACC72957535,HDFC Bank,IN,Routine activity,POSTED
TXN_B0008023,ACC_000197,CUST_00129,2026-05-23 11:34:57.69658,DEBIT,507.27,INR,RTGS,PURCHASE,Indian Railways IRCTC,CPACC66038858,HDFC Bank,IN,Routine activity,POSTED
TXN_B0000112,ACC_000501,CUST_00342,2026-05-23 11:40:57.69658,DEBIT,229.32,INR,UPI,PURCHASE,Tata Consultancy Services,CPACC24096097,HDFC Bank,IN,Routine activity,POSTED
TXN_B0001528,ACC_000061,CUST_00038,2026-05-23 11:50:57.69658,CREDIT,763.56,INR,UPI,TRANSFER_IN,Flipkart Internet Pvt Ltd,CPACC83603833,HDFC Bank,IN,Routine activity,POSTED
TXN_B0005009,ACC_000391,CUST_00268,2026-05-23 11:58:57.69658,CREDIT,3154.88,INR,UPI,TRANSFER_IN,Croma Electronics,CPACC14667916,HDFC Bank,IN,Routine activity,POSTED
TXN_B0000507,ACC_000024,CUST_00014,2026-05-23 11:58:57.69658,DEBIT,1182.54,INR,UPI,PURCHASE,Apollo Hospitals,CPACC95956143,HDFC Bank,IN,Routine activity,POSTED
TXN_B0008740,ACC_000684,CUST_00467,2026-05-23 12:09:57.69658,DEBIT,3033.39,INR,ATM,PURCHASE,Reliance Retail Ltd,CPACC64748041,HDFC Bank,IN,Routine activity,POSTED
TXN_B0004325,ACC_000299,CUST_00200,2026-05-23 12:35:57.69658,DEBIT,21132.65,INR,UPI,PURCHASE,Bharat Petroleum,CPACC19183538,HDFC Bank,IN,Routine activity,POSTED
TXN_B0004916,ACC_000296,CUST_00198,2026-05-23 12:39:57.69658,DEBIT,1719.65,INR,UPI,PURCHASE,Bharat Petroleum,CPACC99949888,HDFC Bank,IN,Routine activity,POSTED
TXN_B0003120,ACC_000620,CUST_00423,2026-05-23 12:50:57.69658,CREDIT,907.11,INR,IMPS,TRANSFER_IN,Reliance Retail Ltd,CPACC21732083,HDFC Bank,IN,Routine activity,POSTED
TXN_B0008354,ACC_000150,CUST_00100,2026-05-23 13:04:57.69658,DEBIT,277.55,INR,RTGS,PURCHASE,Bharat Petroleum,CPACC84120669,HDFC Bank,IN,Routine activity,POSTED
TXN_B0008421,ACC_000597,CUST_00405,2026-05-23 13:06:57.69658,DEBIT,3787.97,INR,IMPS,PURCHASE,Indian Railways IRCTC,CPACC65046240,HDFC Bank,IN,Routine activity,POSTED
TXN_B0004812,ACC_000032,CUST_00019,2026-05-23 13:41:57.69658,DEBIT,21195.15,INR,IMPS,PURCHASE,Flipkart Internet Pvt Ltd,CPACC88793061,HDFC Bank,IN,Routine activity,POSTED
TXN_B0008686,ACC_000155,CUST_00103,2026-05-23 13:43:57.69658,CREDIT,20145.80,INR,IMPS,TRANSFER_IN,Indian Railways IRCTC,CPACC01320496,HDFC Bank,IN,Routine activity,POSTED
TXN_B0004845,ACC_000390,CUST_00267,2026-05-23 14:25:57.69658,DEBIT,19593.72,INR,IMPS,PURCHASE,Reliance Retail Ltd,CPACC86580610,HDFC Bank,IN,Routine activity,POSTED
TXN_B0008434,ACC_000419,CUST_00290,2026-05-23 14:44:57.69658,DEBIT,6017.67,INR,NEFT,PURCHASE,HDFC Life Insurance,CPACC00614017,HDFC Bank,IN,Routine activity,POSTED
TXN_B0009019,ACC_000225,CUST_00150,2026-05-23 16:35:57.69658,DEBIT,466.26,INR,BRANCH,PURCHASE,Tata Consultancy Services,CPACC45720973,HDFC Bank,IN,Routine activity,POSTED
TXN_B0009124,ACC_000479,CUST_00329,2026-05-23 16:53:57.69658,DEBIT,20990.11,INR,RTGS,PURCHASE,HDFC Life Insurance,CPACC72714258,HDFC Bank,IN,Routine activity,POSTED
TXN_B0002939,ACC_000600,CUST_00408,2026-05-23 17:01:57.69658,DEBIT,1046.04,INR,BRANCH,PURCHASE,Croma Electronics,CPACC22057476,HDFC Bank,IN,Routine activity,POSTED
TXN_B0005117,ACC_000167,CUST_00109,2026-05-23 17:02:57.69658,CREDIT,4745.03,INR,NEFT,TRANSFER_IN,HDFC Life Insurance,CPACC51326039,HDFC Bank,IN,Routine activity,POSTED
TXN_B0000649,ACC_000216,CUST_00143,2026-05-23 17:24:57.69658,DEBIT,11355.47,INR,ATM,PURCHASE,Zomato Ltd,CPACC20115454,HDFC Bank,IN,Routine activity,POSTED
TXN_B0007007,ACC_000035,CUST_00021,2026-05-23 18:14:57.69658,CREDIT,19812.77,INR,RTGS,TRANSFER_IN,Reliance Retail Ltd,CPACC64066301,HDFC Bank,IN,Routine activity,POSTED
TXN_B0002589,ACC_000110,CUST_00072,2026-05-23 18:36:57.69658,DEBIT,1485.18,INR,RTGS,PURCHASE,Flipkart Internet Pvt Ltd,CPACC39124355,HDFC Bank,IN,Routine activity,POSTED
TXN_B0005873,ACC_000645,CUST_00440,2026-05-23 19:08:57.69658,DEBIT,177.67,INR,NEFT,PURCHASE,Reliance Retail Ltd,CPACC37428497,HDFC Bank,IN,Routine activity,POSTED
TXN_B0008258,ACC_000409,CUST_00284,2026-05-23 19:18:57.69658,CREDIT,12064.48,INR,UPI,TRANSFER_IN,Apollo Hospitals,CPACC47875073,HDFC Bank,IN,Routine activity,POSTED
TXN_B0005026,ACC_000316,CUST_00213,2026-05-23 19:23:57.69658,DEBIT,996.62,INR,IMPS,PURCHASE,HDFC Life Insurance,CPACC82789360,HDFC Bank,IN,Routine activity,POSTED
TXN_B0003818,ACC_000519,CUST_00354,2026-05-23 20:17:57.69658,DEBIT,206.57,INR,SWIFT,PURCHASE,Bigbasket,CPACC70515179,HDFC Bank,IN,Routine activity,POSTED
TXN_B0009723,ACC_000452,CUST_00312,2026-05-23 20:25:57.69658,DEBIT,1067.01,INR,RTGS,PURCHASE,Indian Railways IRCTC,CPACC70556153,HDFC Bank,IN,Routine activity,POSTED
TXN_B0007603,ACC_000521,CUST_00355,2026-05-23 21:15:57.69658,DEBIT,9206.56,INR,RTGS,PURCHASE,Apollo Hospitals,CPACC94193932,HDFC Bank,IN,Routine activity,POSTED
TXN_B0009477,ACC_000105,CUST_00069,2026-05-23 21:16:57.69658,DEBIT,17039.66,INR,IMPS,PURCHASE,Croma Electronics,CPACC53174707,HDFC Bank,IN,Routine activity,POSTED
TXN_B0000775,ACC_000710,CUST_00484,2026-05-23 21:28:57.69658,DEBIT,1385.04,INR,UPI,PURCHASE,Bharat Petroleum,CPACC74065243,HDFC Bank,IN,Routine activity,POSTED
TXN_B0001817,ACC_000244,CUST_00164,2026-05-23 22:03:57.69658,DEBIT,248.87,INR,ATM,PURCHASE,Apollo Hospitals,CPACC20493546,HDFC Bank,IN,Routine activity,POSTED
TXN_B0009163,ACC_000651,CUST_00445,2026-05-23 22:24:57.69658,CREDIT,8144.80,INR,ATM,TRANSFER_IN,Croma Electronics,CPACC14120398,HDFC Bank,IN,Routine activity,POSTED
TXN_B0000467,ACC_000484,CUST_00332,2026-05-23 22:45:57.69658,CREDIT,2555.14,INR,UPI,TRANSFER_IN,Tata Consultancy Services,CPACC18191339,HDFC Bank,IN,Routine activity,POSTED
TXN_B0001129,ACC_000244,CUST_00164,2026-05-23 22:56:57.69658,CREDIT,5783.95,INR,SWIFT,TRANSFER_IN,Bigbasket,CPACC47385629,HDFC Bank,IN,Routine activity,POSTED
TXN_B0003601,ACC_000081,CUST_00051,2026-05-23 22:58:57.69658,CREDIT,1896.60,INR,IMPS,TRANSFER_IN,Croma Electronics,CPACC08401928,HDFC Bank,IN,Routine activity,POSTED
TXN_B0001047,ACC_000105,CUST_00069,2026-05-23 23:13:57.69658,DEBIT,1153.77,INR,UPI,PURCHASE,Bigbasket,CPACC27088347,HDFC Bank,IN,Routine activity,POSTED
TXN_B0002199,ACC_000445,CUST_00307,2026-05-23 23:27:57.69658,DEBIT,1078.66,INR,IMPS,PURCHASE,Apollo Hospitals,CPACC92972116,HDFC Bank,IN,Routine activity,POSTED
